# index, label, _pos
0,"SARADZHEV, F","array([185.78209016,  84.94717531])"
1,"ANDRADE, MAD","array([19.90930315, 73.61370019])"
2,"CIMA, OMD","array([20.32631139, 71.15177508])"
3,"MARNELIUS, R","array([  4.05773489, 100.3716701 ])"
4,"QUAADE, U","array([  6.93981747, 107.65473591])"
5,"BATALIN, I","array([  8.07880096, 105.10007603])"
6,"ROSGEN, M","array([-32.69635331,  27.88892023])"
7,"VARNHAGEN, R","array([-29.93373304,  35.23997711])"
8,"HORVATH, Z","array([31.04290271, 87.06679289])"
9,"TAKACS, G","array([29.90843982, 82.30832588])"
10,"DIXON, G","array([182.98441875,  78.92456308])"
11,"ABHIRAMAN, R","array([-120.22660849, -113.66053786])"
12,"SOMMERFIELD, CM","array([-122.0715856 , -115.03565284])"
13,"UNIVERSITY, Y","array([-119.99055479, -115.9420378 ])"
14,"WEGRZYN, P","array([-55.1750995 , 133.44719309])"
15,"KARKOWSKI, J","array([-58.22553769, 138.54192299])"
16,"SWIERCZYNSKI, Z","array([-59.3780946, 137.2494876])"
17,"NAFTULIN, S","array([-28.07674018,  99.82367901])"
18,"RANDJBARDAEMI, S","array([-8.4661201 , 62.21565675])"
19,"STRATHDEE, J","array([-5.35621106, 53.39051214])"
20,"KAPOOR, AK","array([-53.73596167,  59.32785238])"
21,"SHARAN, P","array([-35.83961634,  67.27167504])"
22,"ELIZALDE, E","array([-26.31553704,  95.92321201])"
23,"ODINTSOV, SD","array([-23.12172791,  94.87992309])"
24,"JACKIW, R","array([-16.27707023,  60.15579773])"
25,"DOTSENKO, V","array([15.51910754, 95.06254799])"
26,"PICCO, M","array([ 8.42508978, 93.72941822])"
27,"PUJOL, P","array([14.10380527, 87.76815196])"
28,"ARATYN, H","array([-28.34320987,  43.46023208])"
29,"NISSIMOV, E","array([-32.96736366,  29.69029842])"
30,"PACHEVA, S","array([-33.99106779,  30.00806808])"
31,"DORN, H","array([-6.7105305 , 84.83278612])"
32,"OTTO, HJ","array([-2.86931559, 92.71825084])"
33,"KIRITSIS, E","array([-7.65560103, 63.88147127])"
34,"KOUNNAS, C","array([-13.06046651,  68.35634353])"
35,"GURARIE, V","array([20.40565937, 67.86874518])"
36,"HARVEY, JA","array([-8.54080941, 70.64195886])"
37,"MOORE, G","array([-5.42834382, 75.06113392])"
38,"STROMINGER, A","array([-7.77353804, 74.03331001])"
39,"AHN, C","array([-9.44434474, 88.75706882])"
40,"LEE, K","array([-20.02969885,  79.33142599])"
41,"NAM, S","array([-20.86213734,  88.47548237])"
42,"KUTASOV, D","array([-6.26462291, 69.01071102])"
43,"SCHWIMMER, A","array([-3.00876858, 67.68649175])"
44,"WITTE, FMC","array([163.68463529, 194.04923588])"
45,"KLEVANSKY, SP","array([165.87771048, 194.66425556])"
46,"AVRAMIDI, IG","array([-27.91362235,  86.64601475])"
47,"SCHIMMING, R","array([-33.33228863,  90.84201212])"
48,"MATVEEV, VI","array([27.17063151,  7.91007765])"
49,"MUSAKHANOV, MM","array([24.99885693, 13.07362231])"
50,"MATRASULOV, DU","array([28.76887449,  8.73475045])"
51,"KOUBEK, A","array([144.68247459,  68.15247724])"
52,"DUFF, MJ","array([ 0.88251654, 66.00918611])"
53,"DANILOV, GS","array([  20.30596818, -121.49144555])"
54,"WONG, SMH","array([ 75.14814137, -85.25471883])"
55,"BILAL, A","array([-9.25823623, 59.59206882])"
56,"ILLUMINATI, F","array([-38.19580477, 131.24312816])"
57,"VIOLA, L","array([-42.43759306, 138.86314831])"
58,"C, DJF","array([-214.40042221,  119.76559905])"
59,"NIETO, LM","array([-212.15999768,  119.65871375])"
60,"ROSASORTIZ, O","array([-213.37223748,  117.79946427])"
61,"GOMEZ, C","array([-4.20398419, 58.04104323])"
62,"LOPEZ, E","array([ 0.63748155, 66.8219961 ])"
63,"PANIAK, L","array([-27.80418952,  70.61449123])"
64,"WEISS, N","array([-19.71833677,  78.62854776])"
65,"NAKATSU, T","array([-13.44832034, 110.58779751])"
66,"TAKASAKI, K","array([ -9.39568436, 111.99480192])"
67,"TSUJIMARU, S","array([-23.01847006,  99.16330042])"
68,"OLOUGHLIN, M","array([-2.75322338, 70.43655071])"
69,"CALZETTA, E","array([-83.17516445,  82.79250957])"
70,"HU, BL","array([-75.20412307,  78.23809789])"
71,"TORRES, M","array([-37.34294614, 135.21825252])"
72,"LITIM, D","array([-42.88583883,  71.72670136])"
73,"TETRADIS, N","array([-36.31816569,  73.75902293])"
74,"YI, P","array([-13.19492222,  79.43945717])"
75,"PASQUIER, DBV","array([47.67484808, 91.50263817])"
76,"SERBAN, D","array([41.04333321, 89.47801046])"
77,"SHIN, H","array([-16.74534336,  98.0746142 ])"
78,"SOH, K","array([-11.85268967,  97.98161018])"
79,"ANO, N","array([-20.52097794, 123.82836268])"
80,"BUCHBINDER, IL","array([-12.46692371,  86.59618285])"
81,"KUZENKO, SM","array([-9.93525634, 82.32621275])"
82,"PETROV, AY","array([-8.52092505, 78.0533377 ])"
