# index, label, _pos
0,"BIERMANN, PL","array([ 63.97699402, -39.22160804])"
1,"STANEV, TKGT","array([ 73.70466471, -48.40354787])"
2,"GOLDMAN, I","array([ 29.84769468, -24.00343354])"
3,"WANDEL, A","array([ 48.95472382, -30.15002997])"
4,"PILDIS, RA","array([ 70.967964  , -26.94361408])"
5,"BREGMAN, JN","array([ 66.36967351, -29.61168987])"
6,"EVRARD, AE","array([ 66.48624673, -20.68266278])"
7,"SWARTZ, DA","array([ 51.1837612 , -42.74382564])"
8,"SUTHERLAND, PG","array([ 45.0910961 , -52.48933442])"
9,"HARKNESS, RP","array([ 44.35251474, -52.27945642])"
10,"BECKER, W","array([ 67.63247567, -41.41480816])"
11,"BARZIER, KTS","array([ 69.8366977 , -40.95784814])"
12,"TRUEMPER, J","array([ 60.33892712, -35.27867078])"
13,"ANGELANTONJ, C","array([83.02445837, -4.59312278])"
14,"AMENDOLA, L","array([75.3569813 , -8.89531835])"
15,"LITTERIO, M","array([82.1738802 , -3.92355537])"
16,"OCCHIONERO, F","array([81.59688234, -8.78896974])"
17,"LOEB, A","array([ 59.31289187, -22.00349153])"
18,"BRAINERD, JJ","array([ 59.75254046, -46.64933516])"
19,"MEEGAN, CA","array([ 59.73120459, -43.95273496])"
20,"BRIGGS, MS","array([ 61.20845337, -42.2254764 ])"
21,"PENDLETON, GN","array([ 61.15959554, -45.52236281])"
22,"BROCK, MN","array([ 59.98598666, -51.49000449])"
23,"MOHR, JJ","array([ 68.79663165, -28.28961801])"
24,"GELLER, DGFMJ","array([ 76.45433795, -20.55174174])"
25,"FARAONI, V","array([20.76516918,  9.28043365])"
26,"COOPERSTOCK, FI","array([17.5442834 , 13.33210857])"
27,"OVERDUIN, JM","array([18.16913358, 14.35379464])"
28,"HELBIG, P","array([ 72.11881608, -27.62878033])"
29,"KAYSER, R","array([ 81.29929736, -29.40911335])"
30,"ANDREANI, P","array([ 67.19890347, -26.98297402])"
31,"CASOLI, F","array([ 68.60645126, -22.70554309])"
32,"GERIN, M","array([ 70.5532722 , -16.47301584])"
33,"HELENE, DN","array([ 150.35096261, -199.28818709])"
34,"GEORGES, P","array([ 149.68348595, -200.74575499])"
35,"LYON, OD","array([ 148.7412516 , -199.47789095])"
36,"MAARTENS, R","array([23.77429025, -8.7199676 ])"
37,"ELLIS, GFR","array([ 24.82856481, -10.69325251])"
38,"STOEGER, WR","array([19.76257443, -6.91442859])"
39,"HERNQUIST, L","array([ 62.30770248, -25.03473199])"
40,"SIGURDSSON, S","array([ 56.38322571, -28.49675809])"
41,"BRYAN, GL","array([ 63.47484303, -20.49949341])"
42,"BAHCALL, JN","array([ 51.91336271, -31.61403742])"
43,"KIRHAKOS, S","array([ 59.60397897, -28.74595691])"
44,"SCHNEIDER, DP","array([ 61.89741551, -29.55631412])"
45,"THORSETT, SE","array([ 60.6023676 , -39.44459142])"
46,"YOUNG, K","array([ 56.81388794, -18.37542819])"
47,"OBSERVATORY, CS","array([53.95225158, -6.42170504])"
48,"EDU, RC","array([53.5273257 , -6.89270304])"
49,"TOZZI, GBFGP","array([ 84.07716968, -27.88247201])"
50,"STANGA, RM","array([ 71.66715386, -28.99719313])"
51,"UDALSKI, A","array([ 51.4508592 , -22.06621133])"
52,"KUBIAK, M","array([ 50.68000801, -21.99884321])"
53,"SZYMANSKI, M","array([ 50.72101365, -21.62972494])"
54,"KALUZNY, J","array([ 50.31352852, -23.24990516])"
55,"MATEO, M","array([ 56.53399547, -26.92364339])"
56,"KRZEMINSKI, W","array([ 48.74032407, -23.88807724])"
57,"LEONARD, S","array([  17.23456481, -243.54810568])"
58,"LAKE, K","array([  19.0960143, -244.3282352])"
59,"BERERA, A","array([ 51.07570469, -17.87722201])"
60,"FANG, L","array([ 66.51845193, -26.72805591])"
61,"DAVIS, M","array([ 60.85648006, -23.57591336])"
62,"NUSSER, A","array([ 67.84036004, -22.75136127])"
63,"BUNKER, AJ","array([ 66.13985667, -27.46475073])"
64,"WARREN, SJ","array([ 64.48714558, -26.25948801])"
65,"HEWETT, PC","array([ 64.02590526, -30.44540304])"
66,"CLEMENTS, DL","array([ 67.2223122 , -23.54788926])"
67,"WADA, K","array([ 70.52635001, -49.89994822])"
68,"HABE, A","array([ 80.77610156, -57.44194787])"
69,"SOFUE, Y","array([ 74.72425288, -47.84623495])"
70,"BRANCHINI, E","array([ 62.67795415, -22.58865288])"
71,"PLIONIS, M","array([ 63.91482816, -19.25484902])"
72,"MAHABAL, A","array([75.4550775 ,  7.06897811])"
73,"SINGH, AKKP","array([78.80154457, 13.30589915])"
74,"PRABHU, PNBTP","array([79.71847464, 12.70437912])"
75,"CHEN, GH","array([ 70.43273586, -36.58130968])"
76,"KOCHANEK, CS","array([ 66.08152249, -28.26486   ])"
77,"HEWITT, JN","array([ 61.38451347, -34.66501001])"
78,"DUBINSKI, J","array([ 60.46571769, -24.06658875])"
79,"NARAYAN, R","array([ 61.01798632, -36.9427115 ])"
80,"PHILLIPS, TG","array([ 67.0795745 , -18.61955113])"
81,"PAGE, D","array([ 53.44377483, -56.16579796])"
82,"HU, W","array([ 56.8583318, -20.2960396])"
83,"BUNN, EF","array([ 55.26341879, -18.57005927])"
84,"SUGIYAMA, N","array([ 56.70102523, -23.75767031])"
85,"DUFFY, P","array([ 76.23184196, -44.37216144])"
86,"BALL, L","array([ 73.51949363, -45.82792084])"
87,"KIRK, JG","array([ 79.85708806, -45.00261571])"
88,"PELT, J","array([ 83.37766507, -31.3986574 ])"
89,"REFSDAL, S","array([ 70.59399155, -32.05788867])"
90,"SCHRAMM, T","array([ 81.1640237, -30.1217967])"
91,"SHI, X","array([ 43.74687837, -35.60103454])"
92,"BODO, G","array([ 77.13632622, -39.39943827])"
93,"GHISELLINI, G","array([ 64.6707133, -40.4476518])"
94,"ADAMS, F","array([ 41.3351869 , -30.50348543])"
95,"WATKINS, R","array([ 52.36768697, -29.89103934])"
96,"BRANDENBERGER, R","array([ 40.71618723, -14.58384244])"
97,"DAVIS, A","array([ 41.84541607, -14.98541933])"
98,"REES, MJ","array([ 60.92545303, -29.3367539 ])"
99,"UEDA, H","array([ 30.78547994, -31.69699034])"
100,"YOKOYAMA, J","array([ 41.80455112, -30.01540718])"
101,"VOROBEV, P","array([-48.85048191, 155.48181525])"
102,"KOLOKOLOV, I","array([-47.97394455, 154.16195844])"
103,"DANESE, L","array([ 66.39357483, -24.54007213])"
104,"TOFFOLATTI, L","array([ 66.2991982 , -18.38695763])"
105,"FRANCESCHINI, A","array([ 65.94690033, -26.23420026])"
106,"MANDOLESI, MBN","array([ 72.27285836, -18.3323021 ])"
107,"LYTH, DH","array([ 40.20554961, -13.92715883])"
108,"WOSZCZYNA, A","array([32.13320282, -2.79227192])"
109,"KOSOWSKY, A","array([ 48.24004019, -19.64029344])"
110,"CAROLLO, M","array([ 65.31713894, -26.06684266])"
111,"ZEEUW, TD","array([ 71.11286482, -25.43501507])"
112,"MAREL, RVD","array([ 71.75685155, -26.74492564])"
113,"DANZIGER, J","array([ 61.58453151, -33.82793649])"
114,"QIAN, E","array([ 72.4101    , -29.07657881])"
115,"JAIN, B","array([ 68.15183292, -18.11385878])"
116,"MO, HJ","array([ 58.96913368, -21.27538581])"
117,"WHITE, SDM","array([ 65.85437414, -21.92221486])"
118,"KATZ, J","array([ 42.27234725, -49.76116655])"
119,"INAGAKI, S","array([ 45.24628501, -45.72465259])"
120,"YAHALOM, A","array([ 39.40762736, -53.06901103])"
121,"FAIZULLIN, R","array([-141.21953641,   13.78054469])"
122,"BARGE, P","array([ 213.45233505, -137.00451599])"
123,"FR, JSB","array([ 214.82787825, -136.21982521])"
124,"AL, SOE","array([   8.61180187, -213.78040776])"
125,"BAND, DL","array([ 60.54279487, -43.12825787])"
126,"FORD, LA","array([ 59.44179949, -47.49967315])"
127,"MATTESON, JL","array([ 61.64131161, -46.09907255])"
128,"PACIESAS, WS","array([ 62.38423447, -43.63993997])"
129,"PREECE, RD","array([ 61.05047405, -41.95059512])"
130,"PALMER, DM","array([ 57.04021757, -46.3718781 ])"
131,"TEEGARDEN, BJ","array([ 56.75529864, -46.88321259])"
132,"SCHAEFER, BE","array([ 57.27378226, -39.17788489])"
133,"KANG, H","array([ 66.08500437, -32.2202635 ])"
134,"JONES, TW","array([ 72.04253526, -28.93235897])"
135,"CAROLLO, CM","array([ 58.22718418, -28.67900281])"
136,"ZEEUW, PTD","array([ 60.41175184, -19.93545544])"
137,"MAREL, RPVD","array([ 62.46652836, -22.80556564])"
138,"MATSUBARA, T","array([ 49.476163  , -29.90732768])"
139,"SIMMONS, JFL","array([ 80.66434047, -27.80369617])"
140,"NEWSAM, AM","array([ 70.58644978, -32.79730559])"
141,"WILLIS, JP","array([ 72.46508338, -27.05345742])"
142,"CHABOYER, B","array([ 39.81253535, -31.60037057])"
143,"DEMARQUE, P","array([ 45.54506086, -35.74025867])"
144,"PINSONNEAULT, DBGMH","array([ 36.00314541, -36.87546942])"
145,"TULUIE, R","array([ 44.7054472 , -28.74573637])"
146,"LAGUNA, P","array([ 42.77976399, -36.4137793 ])"
147,"HIPPEL, TV","array([ 51.39616209, -24.70078654])"
148,"GILMORE, G","array([ 56.42985361, -23.42907133])"
149,"JONES, DHP","array([ 56.70946353, -30.72240265])"
150,"LAZARIAN, A","array([54.49069013, -9.94468114])"
151,"MAMON, GA","array([ 65.16336313, -15.79651016])"
152,"BANCHET, V","array([ 64.23404598, -13.25501986])"
153,"CONTENSOU, GAMM","array([68.72498331, -2.64348178])"
154,"STECKER, FW","array([ 68.23167136, -41.99676272])"
155,"SALAMON, MH","array([ 77.50268901, -51.65831353])"
156,"JAGER, OCD","array([ 72.13497652, -54.29656351])"
157,"BOTTINO, A","array([ 22.52092051, -23.38182853])"
158,"KIM, CW","array([ 15.14394677, -21.05310728])"
159,"SONG, J","array([ 15.14730877, -20.1868184 ])"
160,"RIX, H","array([ 65.19414849, -29.50307899])"
161,"ASTROPHYSIK, MIF","array([ 79.36647132, -27.68043968])"
162,"WALTER, FM","array([ 48.86941747, -32.02742719])"
163,"MATTHEWS, LD","array([ 56.61323566, -25.69697161])"
164,"LINSKY, JL","array([ 52.89710745, -29.38470134])"
165,"JAFFE, AH","array([ 61.12041283, -16.21334489])"
166,"COLLABORATION, TA","array([ 54.31334846, -50.64490936])"
167,"PRICE, PB","array([ 39.00520388, -68.05357076])"
168,"HUDSON, MJ","array([ 65.94996067, -21.22555389])"
169,"DEKEL, A","array([ 62.14078345, -21.53055592])"
170,"COURTEAU, S","array([ 66.45743088, -21.58303438])"
171,"FABER, SM","array([ 61.96541469, -23.5229139 ])"
172,"WILLICK, JA","array([ 63.16920055, -21.61165731])"
173,"ZACHARIAS, N","array([ 59.93754492, -64.62008849])"
174,"PAOLIS, FD","array([ 47.07513546, -13.56260476])"
175,"INGROSSO, G","array([ 46.72169257, -13.78040935])"
176,"JETZER, P","array([ 42.90640878, -21.63184134])"
177,"QUADIR, A","array([ 41.37654912, -13.4139964 ])"
178,"RONCADELLI, M","array([ 43.94987382, -14.42323578])"
179,"FAIRBRIDGE, RW","array([ 97.29988963, -39.65731011])"
180,"WINDELIUS, G","array([ 96.65140867, -40.31082347])"
181,"HAUBOLD, HJ","array([ 88.50546725, -37.58970049])"
182,"DAR, A","array([ 67.5853356 , -39.02364456])"
183,"SHAVIV, NJ","array([ 72.08854363, -42.03200289])"
184,"SHEMI, A","array([ 63.52916504, -35.05002631])"
185,"BERTOUT, C","array([ 32.28121312, -33.27612336])"
186,"REIPURTH, B","array([ 39.01208545, -33.79768809])"
187,"MALBET, F","array([ 44.02514486, -39.48790349])"
188,"BROWN, JC","array([ 76.06774092, -48.7882076 ])"
189,"BEEKMAN, G","array([ 64.47589817, -47.30554638])"
190,"GRAY, N","array([ 76.12469399, -38.9849228 ])"
191,"MACKINNON, AL","array([ 75.68186019, -48.28224964])"
192,"TELLES, E","array([ 59.88810022, -17.98057908])"
193,"TERLEVICH, R","array([ 62.89425914, -24.55913386])"
194,"MCGAUGH, S","array([ 68.92695506, -22.7497529 ])"
195,"SCHOMBERT, J","array([ 76.79731141, -19.50473362])"
196,"BOTHUN, G","array([ 72.01911918, -23.11026688])"
197,"PARSONS, P","array([52.2714401 , -2.44826806])"
198,"BARROW, JD","array([ 54.79956877, -12.69313785])"
199,"CHARLOT, S","array([ 61.53064636, -21.83952125])"
200,"NG, K","array([ 84.03585018, -18.708239  ])"
201,"SPELIOTOPOULOS, AD","array([ 94.1385619 , -14.30756723])"
202,"KROLIK, JH","array([ 65.82932536, -38.18521779])"
203,"KRISS, GA","array([ 63.17326007, -33.07506846])"
204,"MIHOS, C","array([ 62.80811825, -21.57917777])"
205,"ALCOCK, C","array([ 56.2910144 , -36.67141056])"
206,"ALLSMAN, RA","array([ 55.99128165, -36.09567496])"
207,"AXELROD, TS","array([ 56.23231567, -36.08686703])"
208,"BENNETT, DP","array([ 55.9341643 , -36.99297082])"
209,"COOK, KH","array([ 55.80635486, -36.28372769])"
210,"FREEMAN, KC","array([ 59.4031005 , -32.26757987])"
211,"GRIEST, K","array([ 54.07380453, -35.59408027])"
212,"GUERN, JA","array([ 54.82922888, -34.60277065])"
213,"LEHNER, MJ","array([ 54.40100071, -36.15437919])"
214,"MARSHALL, SL","array([ 55.96641421, -35.80166935])"
215,"PARK, HS","array([ 56.73742312, -38.81620181])"
216,"PERLMUTTER, S","array([ 58.78350282, -30.00572782])"
217,"PETERSON, BA","array([ 59.15340736, -34.07262993])"
218,"PRATT, MR","array([ 55.51916845, -36.15820882])"
219,"QUINN, PJ","array([ 56.99533234, -34.81125514])"
220,"RODGERS, AW","array([ 55.71680121, -35.96079127])"
221,"STUBBS, CW","array([ 56.64312408, -36.03460603])"
222,"SUTHERLAND, W","array([ 59.87609168, -31.4520671 ])"
223,"CRISTIANI, S","array([ 64.27408848, -27.88227036])"
224,"DODORICO, S","array([ 63.11893829, -26.5188287 ])"
225,"FONTANA, A","array([ 62.67391872, -30.24146134])"
226,"GIALLONGO, E","array([ 65.27017834, -30.62776039])"
227,"SAVAGLIO, S","array([ 61.49654199, -28.37133997])"
228,"PIETRINI, P","array([ 70.79220997, -43.54171736])"
229,"STURNER, SJ","array([ 71.11756359, -57.96702348])"
230,"GREINER, J","array([ 57.33846807, -38.34509984])"
231,"TAVANI, M","array([ 62.01204384, -40.62470001])"
232,"BELLONI, T","array([ 61.66982027, -41.7932733 ])"
233,"DAVIDGE, TJ","array([ 68.48417404, -16.06996876])"
